,Date,ndvi
1,17/01/2012,0.4059
2,25/01/2012,0.4101
3,02/02/2012,0.4174
4,10/02/2012,0.3355
5,18/02/2012,0.3095
6,26/02/2012,0.3449
7,05/03/2012,0.4035
8,13/03/2012,0.4035
9,21/03/2012,0.4781
10,29/03/2012,0.5179
11,06/04/2012,0.5542
12,14/04/2012,0.5764
13,22/04/2012,0.6343
14,30/04/2012,0.6343
15,08/05/2012,0.7184
16,16/05/2012,0.7318
17,24/05/2012,0.7264
18,01/06/2012,0.8809
19,09/06/2012,0.8616
20,17/06/2012,0.8331
21,25/06/2012,0.738
22,03/07/2012,0.6822
23,11/07/2012,0.6479
24,19/07/2012,0.6349
25,27/07/2012,0.6416
26,04/08/2012,0.6005
27,12/08/2012,0.6229
28,20/08/2012,0.5987
29,28/08/2012,0.5949
30,05/09/2012,0.5949
31,13/09/2012,0.5282
32,21/09/2012,0.528
33,29/09/2012,0.5475
34,07/10/2012,0.4588
35,15/10/2012,0.53
36,23/10/2012,0.5369
37,31/10/2012,0.5362
38,08/11/2012,0.5227
39,16/11/2012,0.488
40,24/11/2012,0.0974
41,02/12/2012,0.3018
42,10/12/2012,0.4692
43,18/12/2012,0.1832
44,26/12/2012,0.1832
45,01/01/2013,0.5131
46,09/01/2013,0.5131
47,17/01/2013,0.0359
48,25/01/2013,0.4493
49,02/02/2013,0.4774
50,10/02/2013,0.4221
51,18/02/2013,0.4768
52,26/02/2013,0.482
53,06/03/2013,0.0286
54,14/03/2013,0.4287
55,22/03/2013,0.4193
56,30/03/2013,0.4287
57,07/04/2013,0.4312
58,15/04/2013,0.5819
59,23/04/2013,0.6604
60,01/05/2013,0.6596
61,09/05/2013,0.7817
62,17/05/2013,0.7867
63,25/05/2013,0.749
64,02/06/2013,0.7292
65,10/06/2013,0.7412
66,18/06/2013,0.7492
67,26/06/2013,0.6939
68,04/07/2013,0.6939
69,12/07/2013,0.6095
70,20/07/2013,0.628
71,28/07/2013,0.5977
72,05/08/2013,0.587
73,13/08/2013,0.5989
74,21/08/2013,0.5735
75,29/08/2013,0.5735
76,06/09/2013,0.5697
77,14/09/2013,0.6813
78,22/09/2013,0.6589
79,30/09/2013,0.6312
80,08/10/2013,0.6231
81,16/10/2013,0.6231
